offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
5152264856293167069	2018-08-09T00:00:00+03:00	2018-08-16T00:00:00+03:00	60000.0	4	False	2	False	110.0	45.0	42.0	100.0		2	2	Россия, Санкт-Петербург, улица Композиторов, 4	7330789308356214138
9174606537144952378	2018-02-15T00:00:00+03:00	2018-05-18T00:00:00+03:00	5700000.0	8	False	1	False	44.0	13.1	18.7		11.0	1	2	Россия, Санкт-Петербург, Яхтенная улица, 3к1	789694191900325460
3041550475058289921	2016-06-16T00:00:00+03:00	2016-06-24T00:00:00+03:00	21000.0	5	False	2	False	43.0	7.0	28.0	70.0	3.0	2	2	Россия, Санкт-Петербург, Днепропетровская улица, 45	9102542299086032192
1896730478025072275	2016-12-23T00:00:00+03:00	2017-05-20T00:00:00+03:00	50000.0	7	False	2	False	65.0	12.0	38.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Пулковская улица, 10к2	3980016716556743828
5141797489725172880	2018-08-09T00:00:00+03:00	2018-08-20T00:00:00+03:00	20000.0	3	False	2	False	45.0	7.0	30.0	50.0		2	2	Россия, Санкт-Петербург, улица Партизана Германа, 41к3	2977964473708444422
2554639205143184227	2018-01-09T00:00:00+03:00	2018-01-12T00:00:00+03:00	5460000.0	6	False	2	False	54.75	17.03	24.4			1	2	Россия, Санкт-Петербург, Комендантский проспект, 67	5684068456101521396
7171761374358857929	2015-04-12T00:00:00+03:00	2017-01-27T00:00:00+03:00	11800000.0	1	False	2	False	72.9	15.7	33.1		0.0	1	2	Россия, Санкт-Петербург, Нижне-Каменская улица	3237075517425696442
6260945504884201502	2015-01-18T00:00:00+03:00	2016-07-15T00:00:00+03:00	2990000.0	8	False	1	False	29.0		19.0		0.0	1	2	Россия, Санкт-Петербург, Рыбацкий проспект, 18	4407764451986639758
5592490235564550863	2018-04-15T00:00:00+03:00	2018-05-17T00:00:00+03:00	3800000.0	4	False	1	False	46.6	15.3	18.6			1	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Старорусский проспект, 6	7423300724866729798
6841366728926725889	2017-08-22T00:00:00+03:00	2017-10-06T00:00:00+03:00	3050000.0	3	False	1	False	37.0	10.3	16.2		0.0	1	2	Россия, Санкт-Петербург, Пулковское шоссе, 103	2759449824105032714
1896730477310358310	2017-05-21T00:00:00+03:00	2017-05-22T00:00:00+03:00	40000.0	12	False	4	False	105.0	12.0		100.0	0.0	2	2	Россия, Санкт-Петербург, 5-й Предпортовый проезд, 10к1	5256375314973461651
2332956270716858878	2016-01-14T00:00:00+03:00	2017-04-16T00:00:00+03:00	5629167.0	8	False	3	False	71.7	10.4	40.7		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к1	7076615050583066162
4529102942426827114	2016-03-23T00:00:00+03:00	2016-08-18T00:00:00+03:00	7352000.0	11	False	2	False	65.1	18.1	32.4		5.0	1	2	Россия, Санкт-Петербург, проспект Обуховской Обороны, 110Б	4065941285893115095
